"otu.1"	"otu.2"	"otu.3"	"otu.4"	"otu.5"	"otu.6"	"otu.7"	"otu.8"	"otu.9"	"otu.10"	"otu.11"	"otu.12"	"otu.13"	"otu.14"	"otu.15"	"otu.16"	"otu.17"	"otu.18"	"otu.19"	"otu.20"	"otu.21"	"otu.22"	"otu.23"	"otu.24"	"otu.25"	"otu.26"	"otu.27"	"otu.28"	"otu.29"	"otu.30"	"otu.31"	"otu.32"	"otu.33"	"otu.34"	"otu.35"	"otu.36"	"otu.37"	"otu.38"	"otu.39"	"otu.40"	"otu.41"	"otu.42"	"otu.43"	"otu.44"	"otu.45"	"otu.46"	"otu.47"	"otu.48"	"otu.49"	"otu.50"	"otu.51"	"otu.52"	"otu.53"	"otu.54"	"otu.55"	"otu.56"	"otu.57"	"otu.58"	"otu.59"	"otu.60"	"otu.61"	"otu.62"	"otu.63"	"otu.64"	"otu.65"	"otu.66"	"otu.67"	"otu.68"	"otu.69"	"otu.70"	"otu.71"	"otu.72"	"otu.73"	"otu.74"	"otu.75"	"otu.76"	"otu.77"	"otu.78"	"otu.79"	"otu.80"	"otu.81"	"otu.82"	"otu.83"	"otu.84"	"otu.85"	"otu.86"	"otu.87"	"otu.88"	"otu.89"	"otu.90"	"otu.91"	"otu.92"	"otu.93"	"otu.94"	"otu.95"	"otu.96"	"otu.97"	"otu.98"	"otu.99"	"otu.100"	"otu.101"	"otu.102"	"otu.103"
"sample.1"	0.000203189639669313	0.000324929786119603	0.000509113175608104	0.000781584603621113	0.00117564040066895	0.00173264606211515	0.00250196976363605	0.00353990091010193	0.00490723663619958	0.0066653006526488	0.0088703209564121	0.0115663351357342	0.0147770947086459	0.0184977620716226	0.0226874752467372	0.0272640265105854	0.032101894971958	0.0370346454224169	0.0418622493039324	0.0463632397523619	0.0503108713633458	0.0534917430611725	0.0557247986435149	0.056878366219005	0.056883009540462	0.0557384472041627	0.0535135808820823	0.0503396286482809	0.0463973150566774	0.0418998567776053	0.0370739683566501	0.0321412274910003	0.0273018885680329	0.0227226912871935	0.0185294997168117	0.0148048655202945	0.0115899640042066	0.0088898934296487	0.00668109842376942	0.00491967067555024	0.00354944982572653	0.00250912847052928	0.00173788727173681	0.00117938922016425	0.000784204901980357	0.000510903406955629	0.000326125600791648	0.000203970721853664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.2"	0	0.000250485294343122	0.000396981630764859	0.000616446563819564	0.000937901667614801	0.001398157276678	0.00204216859815291	0.00292256384787987	0.00409801240729947	0.00563014237531911	0.0075788329264766	0.00999590537705914	0.0129175094160017	0.0163558185738802	0.020290961626953	0.0246643583639363	0.0293747285191651	0.0342779427040023	0.0391915538720403	0.0439043007187489	0.0481901738713698	0.051825890062622	0.0546099643402197	0.0563811414153447	0.0570338490523069	0.0565286152994374	0.0548960201388065	0.0522336314069223	0.0486963519313703	0.0444815059443193	0.0398106605930592	0.0349105051732925	0.0299950596481004	0.0252510925577317	0.0208279950122428	0.0168326155143187	0.0133288472007696	0.0103411877355067	0.00786113225517853	0.0058551311941068	0.00427292239945707	0.00305527444839906	0.00214048553690797	0.00146930249023872	0.000988204845246741	0.000651207795122206	0.00042046422447581	0.000265996152991111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.3"	0	0.000191796164860326	0.000307462009748819	0.000482925181614206	0.000743198953188844	0.00112064271965476	0.001655640746377	0.00239663493450681	0.00339918273479832	0.0047237182537584	0.00643176706578482	0.00858051739632253	0.0112158835637762	0.0143644947627407	0.0180253649269954	0.0221622895030547	0.0266982028753012	0.0315127483495123	0.0364441127111722	0.0412957471631078	0.0458479711949887	0.049873720177707	0.0531569743507017	0.0555118357681305	0.0567999264373941	0.0569438470535771	0.0559348763578083	0.0538338460204392	0.0507650690020957	0.0469041641417489	0.0424614351223473	0.0376629889865751	0.0327319399196653	0.0278718345130816	0.0232539220032791	0.0190091945483777	0.0152253774087159	0.0119483865807578	0.00918728759073283	0.00692153157789747	0.00510921225445702	0.0036952390014061	0.00261859279261397	0.00181815226231306	0.00123688516434046	0.000824451965222121	0.000538441074144854	0.000344546508795589	0.000216020204410066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.4"	0	0	0.000236695119363969	0.000376046073698818	0.000585368922116375	0.000892801912302322	0.00133418916497819	0.00195351411840297	0.00280254468885612	0.00393935741679007	0.00542544134739882	0.00732118880516714	0.00967976888983928	0.0125396442908812	0.0159163064793963	0.019794120808849	0.0241194270594715	0.0287961618055376	0.0336851953647246	0.038608273675043	0.0433569319672643	0.0477060600143162	0.0514310516427876	0.0543267977353213	0.0562263194428899	0.0570166966392156	0.056650180224897	0.0551489676175108	0.0526029772506074	0.0491609323665289	0.0450159836003423	0.0403878025339853	0.035503449569115	0.0305793131739308	0.0258060627481045	0.0213379463309313	0.0172870279944722	0.0137222364808781	0.010672503622227	0.00813288384388101	0.00607239026974422	0.00444233830519668	0.00318420067254522	0.00223627947475229	0.00153882266042424	0.00103749954668339	0.000685368445482426	0.000443605725420523	0.000281324157727498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.5"	0	0	0.0001809887668819	0.000290848442355825	0.00045795068265614	0.000706492452366436	0.00106790640090471	0.00158159651747623	0.00229506535810675	0.00326310660826078	0.00454573710143494	0.00620460608915364	0.00829776176344314	0.0108728790238794	0.0139593436071959	0.0175599100269182	0.0216429483252227	0.0261364985713683	0.0309253936727135	0.0358525388350242	0.0407250325698255	0.0453252087565665	0.0494259508592818	0.0528088974555773	0.0552835616857168	0.056705055124881	0.0569881273616529	0.0561156299696705	0.0541402362636505	0.0511791770027722	0.0474027236931912	0.0430179927595461	0.0382502110034323	0.0333237889782331	0.0284453815404127	0.0237906330487825	0.0194956213268367	0.0156532676220318	0.0123143016363049	0.00949186191517694	0.00716852630407701	0.00530450913984729	0.00384589451481043	0.00273203577348497	0.00190156967327399	0.00129680581912868	0.000866511849542033	0.00056729755106949	0.000363901762331098	0.000228714793528971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.6"	0	0	0	0.000223557632298784	0.000356044954138257	0.000555593321453526	0.000849466086806588	0.0012725414025284	0.00186781837854886	0.00268617445598414	0.00378504138813565	0.00522569306907183	0.00706893535883975	0.00936916678446499	0.0121670355543415	0.0154812288824092	0.0193002499402241	0.0235753029461471	0.0282155472836886	0.0330869337687864	0.0380155618064595	0.0427959972796103	0.0472043190185938	0.0510149152626451	0.0540193618940916	0.0560452198622277	0.0569724048796316	0.0567449704322537	0.0553766963869948	0.052949706861466	0.0496063101347475	0.0455351881517673	0.0409537989607288	0.036089270212122	0.0311601007484941	0.0263606705674991	0.0218499728450363	0.0177452530454901	0.0141205085849316	0.0110091890361421	0.00841002266129517	0.00629471179213822	0.00461627191185876	0.00331698693649541	0.00233524788502772	0.00161086468672113	0.0010887344920608	0.00072097756403489	0.000467798005415381	0.000297393744114978	0.000185243142036888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.7"	0	0	0	0	0.000275099327292466	0.000434215253031624	0.000671517707627734	0.00101752880104098	0.00151068111263247	0.00219753466961936	0.00313209927378694	0.00437393323427125	0.00598474468121246	0.00802335397206311	0.0105390902920877	0.0135639801380938	0.0171044066185019	0.021133222565485	0.0255835194373495	0.0303453183346792	0.0352663045954441	0.0401573511205285	0.0448029910996351	0.0489762813726206	0.0524567588110105	0.0550495718950921	0.0566035000239606	0.0570255488360205	0.0562901633139815	0.0544417893569537	0.0515904267564277	0.0479007923323966	0.0435765778515228	0.0388418934643756	0.0339222391416744	0.0290272222070952	0.0243367897891796	0.0199920786440088	0.0160912380412668	0.0126898887514158	0.00980534812667735	0.00742343768495228	0.00550660550320472	0.0040022084904969	0.00285004882952047	0.00198857392244234	0.00135946498550783	0.0009106073681894	0.000597628281182499	0.000384297863037558	0.000242126121402747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.8"	0	0	0	0	0.000211124656342261	0.000337068266844132	0.000527270686608678	0.000808139313750606	0.00121360033802482	0.00178567323969054	0.00257433546144239	0.00363634545957013	0.00503271084598535	0.00682457592147596	0.00906747167520739	0.0118041193786965	0.0150562849581602	0.0188165026386994	0.023040761741324	0.0276434095227542	0.0324955004371913	0.0374275758196424	0.0422373843224881	0.0467023978516047	0.0505962337582714	0.0537073901515836	0.055858176584056	0.056921496276516	0.0568332783057497	0.0555988688238196	0.0532924947181943	0.0500498745373277	0.0460549995901935	0.0415228753574685	0.0366804710262748	0.0317482093569512	0.0269240516096668	0.0223716718556407	0.018213495971109	0.0145286424128534	0.0113551690167806	0.00869558927640007	0.00652441054538677	0.00479645518455609	0.00345490689590011	0.0024383113091702	0.0016860824381993	0.00114236609299879	0.000758348183325379	0.000493251988319412	0.000314344514287898	0.00019628168349605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.9"	0	0	0	0	0	0.000260080200077727	0.00041151570644342	0.00063797313080826	0.000969070131173485	0.00144226437063343	0.00210315552516269	0.00300493270823283	0.00420663624958924	0.00576994955434987	0.00775435929162561	0.0102107271388247	0.0131735938244985	0.0166528555309491	0.0206257622426082	0.0250304206006376	0.0297620700687106	0.0346732834213474	0.0395788937790623	0.0442658880126113	0.0485077976944148	0.0520823751698825	0.0547907004969082	0.0564754592861373	0.0570360626528366	0.0564385893940012	0.0547191838479113	0.0519804361220402	0.0483812488076804	0.04412158206723	0.0394241125768921	0.0345151387318341	0.0296069839131099	0.024883734526218	0.0204915022642452	0.0165336555140921	0.0130707593343322	0.0101244070875185	0.00768378540747432	0.00571370353999429	0.00416291003825116	0.00297175632619256	0.00207857745921403	0.00142447908838214	0.00095649518948069	0.000629283507200891	0.000405645587511627	0.00025620288166733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.10"	0	0	0	0	0	0.000199324990823953	0.000319009960564873	0.00050024595009006	0.000768598914186815	0.00115705179161497	0.00170664298130658	0.00246643347547992	0.00349247238369074	0.00484544203380221	0.00658674228690568	0.00877293250205166	0.0114486888316305	0.0146387354624838	0.0183395308241051	0.0225117743375997	0.0270749759550372	0.0319053328597482	0.0368379392560085	0.0416739073910495	0.0461923401365738	0.0501663557926286	0.0533816496639368	0.0556555238510137	0.0568540498894284	0.0569051254341008	0.0558056551441748	0.0536218612236332	0.0504826802931092	0.0465671622080348	0.0420875832262218	0.0372704855583224	0.0323379854007865	0.0274914544998689	0.0228991479104613	0.0186886432632912	0.0149442138356322	0.0117086067439978	0.00898823075121448	0.00676051926002319	0.00498221818689339	0.00359751222461799	0.00254518093437929	0.00176429779602081	0.00119829009414872	0.000797423250128786	0.000519939325250519	0.000332164553734393	0.000207917360192159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
