Sample Number,Habit,Species Name,First_Value,Second_Value,Notes
2,Herbs,Gaultheria ovatifolia,1,1,
2,Herbs,Polystichum munitum,1,1,
2,Herbs,Smilacina sp.,1,1,
2,Herbs,Tiarella trifoliata ssp. unifoliata,5,3,
2,Herbs,Trientalis latifolia,2,2,
2,Herbs,Trillium ovatum,6,5,
2,Herbs,UNK #4,1,1,
2,Herbs,Viola sempervirens,1,1,
2,Herbs,Whipplea modesta,2,2,
2,Shrubs,Acer circinatum,8,4,
2,Shrubs,Berberis nervosa,7,5,
2,Shrubs,Cupressus lawsoniana,53,7,
2,Shrubs,Gaultheria shallon,31,12,
2,Shrubs,Rhododendron macrophyllum,9,6,
2,Shrubs,Rosa gymnocarpa,2,2,
2,Shrubs,Rubus ursinus,8,6,
2,Shrubs,Taxus brevifolia,2,1,
3,Herbs,Achlys triphylla,6,1,
3,Herbs,Apocynum androsaemifolium,7,5,
3,Herbs,Chimaphila umbellata,41,10,
3,Herbs,Pteridium aquilinum var. pubescens,18,9,
3,Shrubs,Lithocarpus densiflorus,22,13,
3,Shrubs,Quercus chrysolepis,7,6,
3,Shrubs,Rosa gymnocarpa,5,3,
3,Shrubs,Rubus ursinus,6,5,
3,Shrubs,Toxicodendron diversilobum,8,5,
4,Herbs,Achlys triphylla,16,1,
4,Herbs,Allotropa virgata,2,1,
4,Herbs,Cypripedium fasciculatum,3,2,
4,Herbs,Hieracium albiflorum,1,1,
4,Herbs,Pteridium aquilinum var. pubescens,10,4,
4,Herbs,Smilacina racemosa,1,1,
4,Herbs,Trientalis latifolia,0.001,0,
4,Herbs,UNK #1,2,2,
4,Shrubs,Berberis nervosa,3,2,
4,Shrubs,Ceanothus integerrimus,0.001,0,
4,Shrubs,Cornus nuttallii,0.001,0,
4,Shrubs,Holodiscus discolor,0.001,0,
4,Shrubs,Lithocarpus densiflorus,3,3,
4,Shrubs,Pseudotsuga menziesii var. menziesii,5,3,
4,Shrubs,Quercus chrysolepis,34,16,
4,Shrubs,Rosa gymnocarpa,6,5,
5,Herbs,Pteridium aquilinum var. pubescens,9,8,
5,Shrubs,Chrysolepis chrysophylla var. chrysophylla,3,3,
5,Shrubs,Lithocarpus densiflorus,3,3,
5,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
5,Shrubs,Quercus chrysolepis,9,7,
5,Shrubs,Rosa gymnocarpa,4,4,
5,Shrubs,Toxicodendron diversilobum,103,16,
6,Herbs,Achlys triphylla,17,6,
6,Herbs,Adiantum aleuticum,23,2,
6,Herbs,Boykinia occidentalis,6,2,
6,Herbs,Cephalanthera austiniae,0.001,0,
6,Herbs,Chimaphila umbellata,1,1,
6,Herbs,Galium triflorum,4,2,
